name,severity,cvss,description,impact,recommendation
SMB Signing Not Required,Medium,5.3,SMB signing is not enforced allowing potential man-in-the-middle attacks.,Attackers may intercept or modify SMB traffic.,Enable SMB signing via Group Policy.
SMBv1 Enabled,Critical,9.8,Legacy SMBv1 protocol is enabled and vulnerable to multiple exploits.,Remote code execution and worm propagation possible.,Disable SMBv1 and upgrade to SMBv2 or SMBv3.
MS17-010 EternalBlue,Critical,10.0,The SMBv1 server is vulnerable to EternalBlue exploit.,Attackers can gain full remote system compromise.,Apply Microsoft patch MS17-010 and disable SMBv1.
Unsupported Windows OS,Critical,9.0,The operating system is no longer supported by the vendor.,No security patches will be released making the system vulnerable.,Upgrade to a supported version of Windows.
SNMP Public Community,High,7.5,SNMP service is accessible using default community string public.,Attackers can enumerate system information.,Change SNMP community strings and restrict access.
SNMP Private Community,High,7.5,SNMP service allows write access using default community string.,Attackers may modify device configuration.,Change SNMP community strings and restrict access.
SNMP Reflection DDoS,Medium,5.0,SNMP service may be abused for reflection amplification attacks.,System could be used in DDoS campaigns.,Restrict SNMP access via firewall rules.
Weak TLS Protocol,Medium,5.9,Server supports deprecated TLS protocols.,Attackers may exploit cryptographic weaknesses.,Disable TLS 1.0 and TLS 1.1.
TLS 1.0 Enabled,Medium,5.9,The server supports deprecated TLS 1.0 protocol.,Cryptographic downgrade attacks possible.,Disable TLS 1.0.
TLS 1.1 Enabled,Medium,5.9,The server supports deprecated TLS 1.1 protocol.,Weak encryption may be exploited.,Disable TLS 1.1.
SSLv2 Enabled,Critical,9.0,The server supports SSLv2 protocol.,Attackers may decrypt traffic using known attacks.,Disable SSLv2.
SSLv3 Enabled,High,7.4,SSLv3 protocol is vulnerable to POODLE attack.,Encrypted sessions could be compromised.,Disable SSLv3.
Weak SSL Cipher Suites,Medium,5.6,Server supports weak cipher suites.,Encryption may be broken by attackers.,Disable weak ciphers and enforce strong encryption.
RC4 Cipher Supported,Medium,5.3,RC4 cipher suite is insecure.,Traffic confidentiality may be compromised.,Disable RC4 cipher suites.
SWEET32 Vulnerability,Medium,5.0,64-bit block ciphers allow SWEET32 attack.,Attackers may recover encrypted data.,Disable 3DES cipher suites.
SSL Self Signed Certificate,Low,3.7,Server uses self signed certificate.,Users cannot verify authenticity of server.,Use certificate from trusted CA.
SSL Certificate Expired,High,7.5,SSL certificate has expired.,Encrypted communication cannot be trusted.,Renew SSL certificate immediately.
SSL Certificate Wrong Hostname,Medium,4.3,Certificate hostname mismatch.,Users may be exposed to MITM attacks.,Install certificate with correct hostname.
SSL Weak Hash Algorithm,Medium,5.0,Certificate uses weak hashing algorithm.,Collision attacks may compromise trust.,Use SHA256 certificate.
OpenSSH Outdated Version,Medium,5.0,OpenSSH version outdated.,Known vulnerabilities may exist.,Upgrade OpenSSH.
SSH Weak MAC Algorithms,Low,3.1,Weak MAC algorithms enabled.,Integrity protection weaker.,Disable weak MAC algorithms.
SSH Weak Ciphers,Low,3.1,Weak encryption ciphers supported.,Data confidentiality reduced.,Disable weak SSH ciphers.
SSH Root Login Allowed,Medium,5.3,SSH allows root login.,Brute force attacks may succeed.,Disable root login.
SSH Password Authentication Enabled,Medium,5.3,Password authentication allowed.,Susceptible to brute force attacks.,Use key based authentication.
Apache HTTP Server Outdated,High,7.5,Apache version outdated.,Known vulnerabilities may be exploited.,Upgrade Apache server.
Apache Directory Listing Enabled,Medium,5.0,Directory listing enabled.,Sensitive files may be exposed.,Disable directory listing.
Apache Default Files,Low,3.0,Default Apache files accessible.,Information disclosure possible.,Remove default files.
Apache Tomcat Outdated,High,7.5,Tomcat version outdated.,Remote exploitation possible.,Upgrade Tomcat.
Tomcat Manager Interface Exposed,High,7.5,Tomcat manager accessible.,Attackers may deploy malicious apps.,Restrict access.
Tomcat Default Credentials,Critical,9.8,Default credentials active.,Full server compromise possible.,Change credentials immediately.
Clickjacking Vulnerability,Medium,4.3,Application vulnerable to clickjacking.,Users may perform unintended actions.,Implement X-Frame-Options header.
Cross Site Scripting Reflected,High,7.2,Application reflects unsanitized input.,Attackers can execute scripts in browser.,Implement input validation.
Cross Site Scripting Stored,High,7.5,Stored XSS vulnerability present.,Persistent malicious scripts executed.,Sanitize user input.
Cross Site Request Forgery,Medium,5.4,CSRF protection missing.,Attackers may perform actions as victim.,Implement CSRF tokens.
SQL Injection,Critical,9.8,Application vulnerable to SQL injection.,Attackers may access or modify database.,Use parameterized queries.
Blind SQL Injection,Critical,9.0,Blind SQL injection vulnerability.,Attackers may extract database data.,Use prepared statements.
Command Injection,Critical,9.8,Application executes system commands.,Full system compromise possible.,Sanitize inputs.
File Inclusion Local,High,7.5,Local file inclusion vulnerability.,Sensitive files may be exposed.,Validate file paths.
File Inclusion Remote,Critical,9.8,Remote file inclusion vulnerability.,Remote code execution possible.,Disable remote includes.
Directory Traversal,High,7.5,Application allows path traversal.,Sensitive files may be accessed.,Validate file paths.
